Name,Variety,Flavors,Producer Country
El Salvador - Pirineos (Natural),Pacamara,"Tropical Fruit, Dark Chocolate, Chocolate, Berry, Cherry, Orange, Citrus",El Salvador
El Salvador- Los Pirineos- Elite Bourbon,Elite Bourbon,"Grape, Berry, Cherry, Caramel, Citrus",El Salvador
Colombia - Wilder Lazo (Gesha),Gesha,"Tropical Fruit, Green Apple, Water Melon, Floral, Flower",Colombia
Colombia - Wilder Lazo (Sidra),Sidra,"Floral, Lemon, Herb, Honey, Citrus, Sweet",Colombia
Colombia - El Placer (Gesha),Gesha,"Rose, Peach, Floral, Jasmine, Tea, Stone Fruit",Colombia
Colombia - El Placer (Pink Bourbon),Pink Bourbon,"Tropical Fruit, Chocolate, Berry, Cocoa Nib, Cherry, Orange, Citrus",Colombia
Release 032 Inmaculada Fellow Farms Papayo Natural,Papayo,"Green Grape, Berry, Cherry, Straw Berry",Colombia
Ethiopia Bona 74110 Natural Espresso,74110,"Tropical Fruit, Straw Berry, Passion Fruit, Berry, Orange, Citrus, Sweet",Ethiopia
Nano Challa Ethiopia Agaro,Ethiopian Heirlooms,"Floral, Berry, Grape Fruit, Citrus, Tea",Ethiopia
Deiro Garcia Finca Lord Voldemort Yeast Inoculated Ombligon Colombia,Ombligon,"Tropical Fruit, Melon",Colombia
Colombia Diomed Montano Tovar,"Castillo, Colombia","Nut, Black Berry, Tropical Fruit, Passion Fruit, Almond, Berry, Jam, Sweet",Colombia
Guatemala Jose Gomez Anaerobic Honey,Catastic,"Berry, Cedar, Citrus, Earthy",Guatemala
Guatemala David Solano La Joya Anaerobic Washed,Red Bourbon,Sweet,Rwanda
Gravfarm,"Lini-S, Andungsari","Tropical Fruit, Water Melon, Papaya, Spice, Cardamom",Indonesia
North Star Soe,74112,"Sweet, Lemon, Honey, Citrus, Tea",Ethiopia
Los Pirineos Pacamara Honey Processed,Pacamara,"Wine, Fermented, Chocolate, Cocoa Nib, Stone Fruit",El Salvador
Burundi Ninga Butaganzwa,Bourbon,"Citrus, Floral, Straw Berry, Lemon, Berry, Jam, Rasp Berry, Sweet",Rwanda
Burundi Ninga Hill,Bourbon,"Floral, Berry, Cherry, Citrus, Sweet",Rwanda
Sweet Tooth Espresso Montano Especial,"Castillo, Colombia","Berry, Chocolate, Cocoa, Grape Fruit, Citrus",Colombia
Hacienda Santa Gertrudis Sidra Natural Lot E,Sidra,"Tropical Fruit, Straw Berry, Sweet, Berry, Yuzu, Caramel, Citrus, Honey, Tea",Colombia
Jose Cuellar Pink Bourbon Bourbon Aji,Pink Bourbon & Bourbon Aji,"Tropical Fruit, Peach, Lychee, Vegetal, Lemon, Herb, Citrus, Stone Fruit",Colombia
Mierisch Los Placeres Ethiosar Anaerobic,Ethiosar,"Currant, Berry, Chocolate, Cocoa, Cherry",Nicaragua
Cadefihuila Cooperative Medium Decaf,"Catillo, Colombia, Caturra, Senicafe","Nut, Dark Chocolate, Almond, Chocolate, Caramel, Sweet",Colombia
Shoondhisa Anaerobic Natural,"Gibirinna 74110, Serto 74112","Fermented, Straw Berry, Blue Berry, Berry, Sweet",Ethiopia
Rainbow Cocktail Decaf,Red Bourbon,"Berry, Acid, Sweet Cream",Rwanda
